Date/Time,Swimming Distance (yd),Source
2022-01-06 09:19:38,1.67,Alan’s Apple Watch
2022-01-06 09:19:39,1.67,Alan’s Apple Watch
2022-01-06 09:19:40,1.67,Alan’s Apple Watch
2022-01-06 09:19:41,1.67,Alan’s Apple Watch
2022-01-06 09:19:42,1.67,Alan’s Apple Watch
2022-01-06 09:19:43,1.67,Alan’s Apple Watch
2022-01-06 09:19:44,1.67,Alan’s Apple Watch
2022-01-06 09:19:45,1.67,Alan’s Apple Watch
2022-01-06 09:19:46,1.62,Alan’s Apple Watch
2022-01-06 09:19:52,0.048,Alan’s Apple Watch
2022-01-06 09:19:53,0.728,Alan’s Apple Watch
2022-01-06 09:19:54,0.728,Alan’s Apple Watch
2022-01-06 09:19:55,0.728,Alan’s Apple Watch
2022-01-06 09:19:56,0.728,Alan’s Apple Watch
2022-01-06 09:19:57,0.728,Alan’s Apple Watch
2022-01-06 09:19:58,0.728,Alan’s Apple Watch
2022-01-06 09:19:59,0.728,Alan’s Apple Watch
2022-01-06 09:20:00,0.728,Alan’s Apple Watch
2022-01-06 09:20:01,0.728,Alan’s Apple Watch
2022-01-06 09:20:02,0.728,Alan’s Apple Watch
2022-01-06 09:20:03,0.728,Alan’s Apple Watch
2022-01-06 09:20:04,0.728,Alan’s Apple Watch
2022-01-06 09:20:05,0.728,Alan’s Apple Watch
2022-01-06 09:20:06,0.728,Alan’s Apple Watch
2022-01-06 09:20:07,0.728,Alan’s Apple Watch
2022-01-06 09:20:08,0.728,Alan’s Apple Watch
2022-01-06 09:20:09,0.728,Alan’s Apple Watch
2022-01-06 09:20:10,0.728,Alan’s Apple Watch
2022-01-06 09:20:11,0.728,Alan’s Apple Watch
2022-01-06 09:20:12,0.728,Alan’s Apple Watch
2022-01-06 09:20:13,0.728,Alan’s Apple Watch
2022-01-06 09:20:14,0.728,Alan’s Apple Watch
2022-01-06 09:20:15,0.728,Alan’s Apple Watch
2022-01-06 09:20:16,0.728,Alan’s Apple Watch
2022-01-06 09:20:17,0.728,Alan’s Apple Watch
2022-01-06 09:20:18,0.728,Alan’s Apple Watch
2022-01-06 09:20:19,0.728,Alan’s Apple Watch
2022-01-06 09:20:20,0.728,Alan’s Apple Watch
2022-01-06 09:20:21,0.728,Alan’s Apple Watch
2022-01-06 09:20:22,0.728,Alan’s Apple Watch
2022-01-06 09:20:23,0.728,Alan’s Apple Watch
2022-01-06 09:20:24,0.728,Alan’s Apple Watch
2022-01-06 09:20:25,0.728,Alan’s Apple Watch
2022-01-06 09:20:26,0.728,Alan’s Apple Watch
2022-01-06 09:20:27,0.205,Alan’s Apple Watch
2022-01-06 09:20:56,0.4,Alan’s Apple Watch
2022-01-06 09:20:57,1.17,Alan’s Apple Watch
2022-01-06 09:20:58,1.17,Alan’s Apple Watch
2022-01-06 09:20:59,1.17,Alan’s Apple Watch
2022-01-06 09:21:00,1.17,Alan’s Apple Watch
2022-01-06 09:21:01,1.17,Alan’s Apple Watch
2022-01-06 09:21:02,1.17,Alan’s Apple Watch
2022-01-06 09:21:03,1.17,Alan’s Apple Watch
2022-01-06 09:21:04,1.17,Alan’s Apple Watch
2022-01-06 09:21:05,1.17,Alan’s Apple Watch
2022-01-06 09:21:06,1.17,Alan’s Apple Watch
2022-01-06 09:21:07,1.17,Alan’s Apple Watch
2022-01-06 09:21:08,1.17,Alan’s Apple Watch
2022-01-06 09:21:09,1.17,Alan’s Apple Watch
2022-01-06 09:21:10,1.17,Alan’s Apple Watch
2022-01-06 09:21:11,1.17,Alan’s Apple Watch
2022-01-06 09:21:12,1.17,Alan’s Apple Watch
2022-01-06 09:21:13,1.17,Alan’s Apple Watch
2022-01-06 09:21:14,1.17,Alan’s Apple Watch
2022-01-06 09:21:15,1.17,Alan’s Apple Watch
2022-01-06 09:21:16,1.17,Alan’s Apple Watch
2022-01-06 09:21:17,1.15,Alan’s Apple Watch
2022-01-06 09:21:46,0.108,Alan’s Apple Watch
2022-01-06 09:21:47,0.976,Alan’s Apple Watch
2022-01-06 09:21:48,0.976,Alan’s Apple Watch
2022-01-06 09:21:49,0.976,Alan’s Apple Watch
2022-01-06 09:21:50,0.976,Alan’s Apple Watch
2022-01-06 09:21:51,0.976,Alan’s Apple Watch
2022-01-06 09:21:52,0.976,Alan’s Apple Watch
2022-01-06 09:21:53,0.976,Alan’s Apple Watch
2022-01-06 09:21:54,0.976,Alan’s Apple Watch
2022-01-06 09:21:55,0.976,Alan’s Apple Watch
2022-01-06 09:21:56,0.976,Alan’s Apple Watch
2022-01-06 09:21:57,0.976,Alan’s Apple Watch
2022-01-06 09:21:58,0.976,Alan’s Apple Watch
2022-01-06 09:21:59,0.976,Alan’s Apple Watch
2022-01-06 09:22:00,0.976,Alan’s Apple Watch
2022-01-06 09:22:01,0.976,Alan’s Apple Watch
2022-01-06 09:22:02,0.976,Alan’s Apple Watch
2022-01-06 09:22:03,0.976,Alan’s Apple Watch
2022-01-06 09:22:04,0.976,Alan’s Apple Watch
2022-01-06 09:22:05,0.976,Alan’s Apple Watch
2022-01-06 09:22:06,0.976,Alan’s Apple Watch
2022-01-06 09:22:07,0.976,Alan’s Apple Watch
2022-01-06 09:22:08,0.976,Alan’s Apple Watch
2022-01-06 09:22:09,0.976,Alan’s Apple Watch
2022-01-06 09:22:10,0.976,Alan’s Apple Watch
2022-01-06 09:22:11,0.976,Alan’s Apple Watch
2022-01-06 09:22:12,0.489,Alan’s Apple Watch
2022-01-06 09:22:17,1.94,Alan’s Apple Watch
2022-01-06 09:22:18,3.69,Alan’s Apple Watch
2022-01-06 09:22:19,3.69,Alan’s Apple Watch
2022-01-06 09:22:20,3.69,Alan’s Apple Watch
2022-01-06 09:22:21,3.69,Alan’s Apple Watch
2022-01-06 09:22:22,3.69,Alan’s Apple Watch
2022-01-06 09:22:23,3.69,Alan’s Apple Watch
2022-01-06 09:22:24,0.922,Alan’s Apple Watch
2022-01-06 09:22:39,0.329,Alan’s Apple Watch
2022-01-06 09:22:40,1.1,Alan’s Apple Watch
2022-01-06 09:22:41,1.1,Alan’s Apple Watch
2022-01-06 09:22:42,1.1,Alan’s Apple Watch
2022-01-06 09:22:43,1.1,Alan’s Apple Watch
2022-01-06 09:22:44,1.1,Alan’s Apple Watch
2022-01-06 09:22:45,1.1,Alan’s Apple Watch
2022-01-06 09:22:46,1.1,Alan’s Apple Watch
2022-01-06 09:22:47,1.1,Alan’s Apple Watch
2022-01-06 09:22:48,1.1,Alan’s Apple Watch
2022-01-06 09:22:49,1.1,Alan’s Apple Watch
2022-01-06 09:22:50,1.1,Alan’s Apple Watch
2022-01-06 09:22:51,1.1,Alan’s Apple Watch
2022-01-06 09:22:52,1.1,Alan’s Apple Watch
2022-01-06 09:22:53,1.1,Alan’s Apple Watch
2022-01-06 09:22:54,1.1,Alan’s Apple Watch
2022-01-06 09:22:55,1.1,Alan’s Apple Watch
2022-01-06 09:22:56,1.1,Alan’s Apple Watch
2022-01-06 09:22:57,1.1,Alan’s Apple Watch
2022-01-06 09:22:58,1.1,Alan’s Apple Watch
2022-01-06 09:22:59,1.1,Alan’s Apple Watch
2022-01-06 09:23:00,1.1,Alan’s Apple Watch
2022-01-06 09:23:01,1.1,Alan’s Apple Watch
2022-01-06 09:23:02,0.432,Alan’s Apple Watch
2022-01-06 09:23:06,1.03,Alan’s Apple Watch
2022-01-06 09:23:07,1.57,Alan’s Apple Watch
2022-01-06 09:23:08,1.57,Alan’s Apple Watch
2022-01-06 09:23:09,1.57,Alan’s Apple Watch
2022-01-06 09:23:10,1.57,Alan’s Apple Watch
2022-01-06 09:23:11,1.57,Alan’s Apple Watch
2022-01-06 09:23:12,1.57,Alan’s Apple Watch
2022-01-06 09:23:13,1.57,Alan’s Apple Watch
2022-01-06 09:23:14,1.57,Alan’s Apple Watch
2022-01-06 09:23:15,1.57,Alan’s Apple Watch
2022-01-06 09:23:16,1.57,Alan’s Apple Watch
2022-01-06 09:23:17,1.57,Alan’s Apple Watch
2022-01-06 09:23:18,1.57,Alan’s Apple Watch
2022-01-06 09:23:19,1.57,Alan’s Apple Watch
2022-01-06 09:23:20,1.57,Alan’s Apple Watch
2022-01-06 09:23:21,1.57,Alan’s Apple Watch
2022-01-06 09:23:22,0.379,Alan’s Apple Watch
2022-01-06 09:24:38,0.565,Alan’s Apple Watch
2022-01-06 09:24:39,1.37,Alan’s Apple Watch
2022-01-06 09:24:40,1.37,Alan’s Apple Watch
2022-01-06 09:24:41,1.37,Alan’s Apple Watch
2022-01-06 09:24:42,1.37,Alan’s Apple Watch
2022-01-06 09:24:43,1.37,Alan’s Apple Watch
2022-01-06 09:24:44,1.37,Alan’s Apple Watch
2022-01-06 09:24:45,1.37,Alan’s Apple Watch
2022-01-06 09:24:46,1.37,Alan’s Apple Watch
2022-01-06 09:24:47,1.37,Alan’s Apple Watch
2022-01-06 09:24:48,1.37,Alan’s Apple Watch
2022-01-06 09:24:49,1.37,Alan’s Apple Watch
2022-01-06 09:24:50,1.37,Alan’s Apple Watch
2022-01-06 09:24:51,1.37,Alan’s Apple Watch
2022-01-06 09:24:52,1.37,Alan’s Apple Watch
2022-01-06 09:24:53,1.37,Alan’s Apple Watch
2022-01-06 09:24:54,1.37,Alan’s Apple Watch
2022-01-06 09:24:55,1.37,Alan’s Apple Watch
2022-01-06 09:24:56,1.18,Alan’s Apple Watch
2022-01-06 09:25:00,1.43,Alan’s Apple Watch
2022-01-06 09:25:01,1.84,Alan’s Apple Watch
2022-01-06 09:25:02,1.84,Alan’s Apple Watch
2022-01-06 09:25:03,1.84,Alan’s Apple Watch
2022-01-06 09:25:04,1.84,Alan’s Apple Watch
2022-01-06 09:25:05,1.84,Alan’s Apple Watch
2022-01-06 09:25:06,1.84,Alan’s Apple Watch
2022-01-06 09:25:07,1.84,Alan’s Apple Watch
2022-01-06 09:25:08,1.84,Alan’s Apple Watch
2022-01-06 09:25:09,1.84,Alan’s Apple Watch
2022-01-06 09:25:10,1.84,Alan’s Apple Watch
2022-01-06 09:25:11,1.84,Alan’s Apple Watch
2022-01-06 09:25:12,1.84,Alan’s Apple Watch
2022-01-06 09:25:13,1.47,Alan’s Apple Watch
